frame,t_s,mode,tier,x_mm,y_mm,theta_deg,heading_deg
0,0.0,,none,,,,
1,0.033,,none,,,,
2,0.066,DRV,Y-only,,19.7,5.6,0.0
3,0.099,DRV,Y-only,,20.5,3.1,0.0
4,0.132,DRV,junction,,21.0,3.2,0.0
5,0.165,DRV,Y-only,,21.8,1.9,0.0
6,0.198,DRV,junction,-21.1,19.8,4.6,0.0
7,0.231,DRV,Y-only,,20.9,4.2,0.0
8,0.264,DRV,junction,-1.4,20.6,3.5,0.0
9,0.297,DRV,junction,2.0,20.2,2.0,0.0
10,0.33,DRV,Y-only,,18.2,3.2,0.0
11,0.363,DRV,Y-only,,17.2,2.3,0.0
12,0.396,DRV,Y-only,,16.8,4.1,0.0
13,0.429,DRV,Y-only,,15.9,3.8,0.0
14,0.462,DRV,junction,25.3,15.7,2.5,0.0
15,0.495,DRV,junction,25.6,15.7,2.9,0.0
16,0.528,DRV,junction,26.0,16.2,2.5,0.0
17,0.561,DRV,junction,26.0,15.9,2.5,0.0
18,0.594,DRV,junction,25.6,17.3,2.3,0.0
19,0.627,DRV,Y-only,,16.8,4.1,0.0
20,0.66,DRV,junction,19.3,17.1,2.6,0.0
21,0.693,DRV,Y-only,,15.5,1.7,0.0
22,0.726,DRV,junction,5.5,15.6,2.6,0.0
23,0.759,DRV,junction,8.5,15.4,1.5,0.0
24,0.792,DRV,Y-only,,14.4,4.0,0.0
25,0.825,DRV,junction,-24.1,13.6,2.9,0.0
26,0.858,DRV,junction,-22.7,13.0,1.0,0.0
27,0.891,DRV,Y-only,,13.9,3.4,0.0
28,0.924,DRV,Y-only,,13.8,3.1,0.0
29,0.957,DRV,junction,16.5,13.7,2.0,0.0
30,0.99,DRV,Y-only,,12.0,2.4,0.0
31,1.023,DRV,Y-only,,10.5,3.2,0.0
32,1.056,DRV,junction,-28.0,8.3,2.2,0.0
33,1.089,DRV,Y-only,,8.2,2.6,0.0
34,1.122,DRV,Y-only,,6.6,2.6,0.0
35,1.155,DRV,junction,18.8,6.3,2.3,0.0
36,1.188,DRV,Y-only,,3.5,2.5,0.0
37,1.221,DRV,junction,-10.8,1.4,2.6,0.0
38,1.254,DRV,junction,-25.7,-0.7,2.5,0.0
39,1.287,DRV,Y-only,,-0.7,2.6,0.0
40,1.32,DRV,Y-only,,-1.7,2.4,0.0
41,1.353,DRV,junction,20.9,-1.5,1.8,0.0
42,1.386,DRV,Y-only,,-2.6,1.8,0.0
43,1.419,DRV,junction,-8.0,-2.4,1.3,0.0
44,1.452,DRV,Y-only,,-1.5,0.9,0.0
45,1.485,DRV,Y-only,,-0.8,0.6,0.0
46,1.518,DRV,Y-only,,-0.9,0.4,0.0
47,1.551,DRV,junction,26.0,-0.7,-0.0,0.0
48,1.584,DRV,Y-only,,-0.6,0.1,0.0
49,1.617,DRV,junction,-0.6,0.0,-0.0,0.0
50,1.65,DRV,junction,-15.0,1.5,-0.5,0.0
51,1.683,DRV,Y-only,,2.6,-0.7,0.0
52,1.716,DRV,Y-only,,3.7,-0.6,0.0
53,1.749,DRV,Y-only,,4.9,-0.8,0.0
54,1.782,DRV,junction,21.8,6.0,-0.6,0.0
55,1.815,DRV,Y-only,,6.8,-1.2,0.0
56,1.848,DRV,junction,-4.5,7.3,-1.2,0.0
57,1.881,DRV,Y-only,,6.9,-1.1,0.0
58,1.914,DRV,Y-only,,7.4,-1.5,0.0
59,1.947,DRV,Y-only,,7.8,-2.1,0.0
60,1.98,DRV,junction,26.3,7.0,-2.1,0.0
61,2.013,DRV,Y-only,,7.9,-3.2,0.0
62,2.046,DRV,junction,-5.0,8.8,-3.6,0.0
63,2.079,DRV,Y-only,,8.5,-3.4,0.0
64,2.112,DRV,Y-only,,8.6,-4.3,0.0
65,2.145,DRV,Y-only,,9.1,-5.0,0.0
66,2.178,DRV,junction,22.8,7.3,-4.1,0.0
67,2.211,DRV,Y-only,,7.9,-5.0,0.0
68,2.244,DRV,junction,-13.9,9.0,-5.0,0.0
69,2.277,DRV,Y-only,,7.0,-5.3,0.0
70,2.31,DRV,Y-only,,7.5,-5.8,0.0
71,2.343,DRV,junction,22.1,5.8,-5.4,0.0
72,2.376,DRV,Y-only,,5.9,-5.3,0.0
73,2.409,DRV,junction,-12.5,7.9,-6.2,0.0
74,2.442,DRV,Y-only,,6.5,-6.1,0.0
75,2.475,DRV,Y-only,,5.6,-4.9,0.0
76,2.508,DRV,Y-only,,5.0,-4.4,0.0
77,2.541,DRV,junction,10.0,3.4,-3.5,0.0
78,2.574,DRV,Y-only,,4.3,-2.3,0.0
79,2.607,DRV,junction,-26.5,7.5,-2.3,0.0
80,2.64,DRV,Y-only,,7.1,-1.4,0.0
81,2.673,DRV,junction,25.0,8.2,-0.4,0.0
82,2.706,DRV,Y-only,,4.4,6.0,0.0
83,2.739,DRV,junction,8.9,-0.3,13.7,0.0
84,2.772,DRV,junction,6.4,-4.0,16.4,0.0
85,2.805,DRV,junction,2.8,-6.3,13.9,0.0
86,2.838,DRV,junction,3.2,-5.4,13.8,0.0
87,2.871,DRV,Y-only,,-5.0,16.0,0.0
88,2.904,DRV,junction,9.4,-1.8,14.8,0.0
