frame,t_s,theta_m1,theta,heading_raw,heading,rate_dps,tier,x_to_next_mm,y_offset_mm,travel_mm,otsu,sharpness,jump_rejected,fit_residual_px
0,0.0000,-0.4639,-1.6741,0.0000,0.0000,0.00,1,52.100,-6.802,0.00,50,24.8,0,0.367
1,0.0331,-0.4305,-1.7192,-0.0450,-0.0203,-0.11,1,52.132,-6.833,-0.03,50,24.8,0,0.440
2,0.0663,-0.4187,-1.7236,-0.0495,-0.0354,-0.17,1,52.132,-6.842,-0.03,50,24.8,0,0.419
3,0.0994,-0.3974,-1.8198,-0.1457,-0.0882,-0.42,1,52.145,-6.921,-0.04,50,24.8,0,0.477
4,0.1325,-0.4322,-1.7107,-0.0366,-0.0727,-0.26,1,52.105,-6.831,-0.00,50,24.8,0,0.385
5,0.1656,-0.4379,-1.6906,-0.0165,-0.0522,-0.11,1,52.107,-6.802,-0.01,50,24.6,0,0.327
6,0.1988,-0.5928,-1.8099,-0.1358,-0.0918,-0.30,1,52.106,-6.743,-0.01,50,23.4,0,0.222
7,0.2319,-0.7187,-2.0426,-0.3685,-0.2218,-0.95,1,52.144,-6.709,-0.04,49,23.5,0,0.388
8,0.2650,-0.6968,-2.2190,-0.5449,-0.3844,-1.65,1,52.034,-6.535,0.07,49,20.4,0,0.372
9,0.2982,-0.9714,-1.9735,-0.2994,-0.3762,-1.31,1,51.741,-6.197,0.36,49,21.4,0,0.384
10,0.3313,-1.0102,-1.7386,-0.0645,-0.2599,-0.45,1,51.803,-5.554,0.30,49,22.0,0,0.373
11,0.3644,-1.4212,-1.8261,-0.1520,-0.2196,-0.16,1,51.808,-3.506,0.29,49,25.7,0,0.224
12,0.3976,-1.6101,-1.9488,-0.2746,-0.2473,-0.28,1,51.536,-1.587,0.56,48,23.6,0,0.274
13,0.4307,-1.3983,-1.7269,-0.0528,-0.1648,0.21,1,51.150,-0.727,0.95,48,25.9,0,0.234
14,0.4638,-1.1608,-1.4752,0.1989,0.0027,1.07,1,50.862,-0.689,1.24,48,24.3,0,0.291
15,0.4969,-1.0824,-1.3480,0.3261,0.1678,1.77,1,50.705,-0.659,1.40,47,27.3,0,0.299
16,0.5301,-0.4321,-1.1232,0.5509,0.3724,2.55,1,50.535,-0.801,1.57,47,21.8,0,0.152
17,0.5632,-0.1490,-1.1697,0.5044,0.4783,2.67,1,50.473,-0.906,1.63,47,20.8,0,0.159
18,0.5963,-0.0490,-0.8316,0.8425,0.6908,3.33,1,50.436,-0.721,1.66,47,20.4,0,0.136
19,0.6295,-0.4935,-0.6656,1.0085,0.8945,3.83,1,50.365,-0.284,1.73,47,26.6,0,0.102
20,0.6626,-0.4035,-0.6486,1.0255,1.0233,3.84,1,50.346,-0.265,1.75,47,23.7,0,0.412
21,0.6957,-0.4191,-0.4230,1.2511,1.1958,4.09,1,50.282,-0.112,1.82,47,24.6,0,0.201
22,0.7289,-0.4134,-0.4173,1.2568,1.2977,3.91,1,50.282,-0.112,1.82,47,24.6,0,0.201
23,0.7620,-0.4083,-0.4782,1.1959,1.3231,3.35,1,50.276,-0.192,1.82,47,24.9,0,0.131
24,0.7951,-0.3637,-0.6525,1.0216,1.2484,2.35,1,50.285,-0.283,1.82,47,24.4,0,0.484
25,0.8282,-0.3619,-0.6507,1.0234,1.1900,1.62,1,50.285,-0.283,1.82,47,24.2,0,0.484
26,0.8614,-0.3566,-0.6454,1.0287,1.1469,1.10,1,50.285,-0.283,1.82,47,24.2,0,0.484
27,0.8945,-0.3404,-0.8308,0.8433,1.0304,0.28,1,50.327,-0.316,1.77,47,24.6,0,0.429
28,0.9276,-0.2886,-1.0216,0.6525,0.8654,-0.65,1,50.320,-0.467,1.78,47,23.4,0,0.144
29,0.9608,-0.3201,-0.9706,0.7035,0.7806,-0.99,1,50.305,-0.500,1.80,47,23.2,0,0.128
30,0.9939,-0.0634,-0.5276,1.1465,0.9272,-0.03,1,50.084,-0.500,2.02,46,22.6,0,0.159
31,1.0270,-0.2042,-0.6772,0.9970,0.9580,0.14,1,49.760,-0.504,2.34,46,22.8,0,0.150
32,1.0602,-0.0663,-0.5410,1.1332,1.0394,0.55,1,49.142,-0.541,2.96,45,20.8,0,0.135
33,1.0933,-0.1803,-0.7574,0.9167,0.9942,0.21,1,48.340,-0.402,3.76,43,22.8,0,0.241
34,1.1264,-0.0433,-0.6641,1.0100,1.0052,0.23,1,47.392,-0.314,4.71,42,20.7,0,0.143
35,1.1595,-0.4427,-0.4224,1.2517,1.1204,0.81,1,46.293,0.145,5.81,40,26.2,0,0.335
36,1.1927,-0.4108,-0.9045,0.7696,0.9773,-0.10,2,37.770,0.538,14.33,39,22.8,0,0.336
37,1.2258,-0.3940,-1.0616,0.6125,0.8113,-0.97,2,34.648,0.692,17.45,40,20.6,0,0.281
38,1.2589,-0.2963,-0.1226,1.5515,1.1266,0.89,1,28.902,1.041,23.20,40,19.9,0,0.166
39,1.2921,0.5005,-1.2583,0.4158,0.8230,-0.90,1,26.631,1.239,25.47,41,23.9,0,0.261
40,1.3252,0.4950,-1.3928,0.2813,0.5629,-2.13,1,25.179,1.252,26.92,43,20.3,0,0.170
41,1.3583,0.4529,-1.1989,0.4752,0.4845,-2.17,1,24.335,0.942,27.76,44,21.9,0,0.325
42,1.3915,0.2451,-0.9814,0.6927,0.5386,-1.50,1,24.106,0.760,27.99,44,22.4,0,0.146
43,1.4246,0.2361,-1.1514,0.5227,0.5042,-1.42,1,24.160,0.768,27.94,44,22.9,0,0.148
44,1.4577,0.3051,-1.0889,0.5852,0.5148,-1.11,1,24.121,0.869,27.98,44,21.5,0,0.243
45,1.4908,0.3813,-1.2988,0.3753,0.4318,-1.36,1,24.192,0.874,27.91,44,20.7,0,0.197
