frame,t_s,theta_m1,theta,heading_raw,heading,rate_dps,tier,x_to_next_mm,y_offset_mm,travel_mm,otsu,sharpness,jump_rejected,fit_residual_px
0,0.0000,-4.6559,-4.3807,0.0000,0.0000,0.00,1,77.451,-2.567,0.00,62,17.0,0,0.221
1,0.0330,-4.2423,-3.9928,0.3880,0.1746,0.94,1,77.744,-2.266,-0.29,61,17.6,0,0.227
2,0.0660,-4.2946,-4.1892,0.1915,0.1993,0.91,1,78.019,-2.011,-0.57,61,16.0,0,0.443
3,0.0990,-4.3831,-4.2285,0.1522,0.1945,0.72,1,78.680,-1.570,-1.23,60,18.9,0,0.175
4,0.1320,-3.7567,-3.6569,0.7238,0.4458,1.95,1,0.867,-0.886,-3.42,58,15.8,0,0.256
5,0.1650,-3.2590,-3.1316,1.2491,0.8426,3.74,1,4.525,-0.137,-7.07,56,17.2,0,0.283
6,0.1980,-2.8228,-3.1105,1.2703,1.1029,4.47,1,10.813,0.123,-13.36,50,14.3,0,0.255
7,0.2310,-1.9695,-2.7133,1.6675,1.4382,5.49,1,19.619,0.616,-22.17,42,11.4,0,0.237
8,0.2640,-1.7305,-3.0783,1.3024,1.4766,4.72,1,27.803,1.168,-30.35,33,10.7,0,0.221
9,0.2970,-3.1549,-3.1597,1.2210,1.4472,3.72,1,48.030,0.149,-50.58,37,12.0,0,0.237
10,0.3300,-3.6126,-3.6715,0.7092,1.1827,1.63,1,60.710,1.233,-63.26,51,10.1,0,0.254
11,0.3630,-3.3924,-3.4966,0.8841,1.0780,0.78,1,78.619,2.885,-81.17,57,8.6,0,0.307
12,0.3960,-1.3289,-2.4908,1.8899,1.4575,2.69,1,16.257,4.134,-98.81,41,7.4,0,0.657
13,0.4290,0.9314,-2.1022,2.2785,1.8757,4.46,1,29.419,5.889,-111.97,23,7.8,0,0.323
14,0.4620,-2.4050,-1.8966,2.4841,2.2305,5.58,1,53.496,4.785,-136.05,43,8.7,0,0.249
15,0.4950,-2.1432,-1.9360,2.4447,2.4281,5.65,1,70.417,5.908,-152.97,59,10.6,0,0.311
16,0.5280,-1.3617,-1.5775,2.8032,2.6995,6.11,1,8.180,6.184,-170.73,51,9.0,0,0.163
17,0.5610,-2.0946,-2.8124,1.5683,2.3014,2.88,1,24.828,5.782,-187.38,36,10.0,0,0.354
18,0.5940,-2.9116,-2.6414,1.7393,2.1007,1.29,1,47.456,4.301,-210.01,34,8.5,0,0.431
19,0.6270,-2.3238,-2.0969,2.2838,2.2064,1.63,1,60.082,2.781,-222.63,43,9.2,0,0.431
20,0.6600,-2.4386,-2.3973,1.9834,2.1356,0.96,1,78.136,1.864,-240.69,46,10.0,0,0.254
21,0.6930,-1.1520,-1.6035,2.7773,2.4417,2.43,1,15.615,0.719,-258.16,40,8.0,0,0.344
22,0.7260,-0.6446,-0.5750,3.8057,3.0997,5.55,2,32.418,-0.023,-274.97,35,8.9,0,0.136
23,0.7590,-0.2988,-0.1647,4.2160,3.7027,7.81,1,46.474,0.351,-289.02,37,11.0,0,0.258
24,0.7920,-0.1455,0.3997,4.7805,4.3294,9.80,1,57.690,-0.257,-300.24,49,9.9,0,0.175
25,0.8250,0.4301,0.3549,4.7356,4.6901,10.00,1,74.503,-3.257,-317.05,57,10.8,0,0.142
26,0.8580,1.0847,0.9891,5.3698,5.1774,10.85,1,11.779,-3.900,-334.33,53,11.0,0,0.196
27,0.8910,2.9542,1.9052,6.2859,5.8731,12.67,2,35.094,-6.506,-357.64,42,14.3,0,0.390
28,0.9240,2.4986,2.0655,6.4462,6.3609,13.04,1,52.039,-7.180,-374.59,48,14.4,0,0.306
29,0.9570,2.2619,2.4010,6.7818,6.7870,13.02,1,65.511,-8.722,-388.06,56,14.7,0,0.149
30,0.9900,2.1471,1.8745,6.2553,6.7840,10.69,1,74.431,-9.554,-396.98,57,12.2,0,0.622
