frame,t_s,theta_m1,theta,heading_raw,heading,rate_dps,tier,x_to_next_mm,y_offset_mm,travel_mm,otsu,sharpness,jump_rejected,fit_residual_px
0,0.0000,2.8032,3.0519,0.0000,0.0000,0.00,1,-1.525,-6.981,0.00,56,19.0,0,0.113
1,0.0330,2.1832,2.1873,-0.8646,-0.3891,-2.10,1,-1.922,-6.820,0.40,56,18.5,0,0.137
2,0.0660,2.0474,2.1353,-0.9166,-0.6645,-3.21,1,-2.231,-6.316,0.71,56,20.2,0,0.125
3,0.0990,1.3157,1.7319,-1.3201,-1.0177,-4.54,1,-2.301,-5.361,0.78,56,19.0,0,0.157
4,0.1320,0.9433,1.2472,-1.8047,-1.4543,-6.08,1,-2.308,-4.587,0.78,56,21.1,0,0.167
5,0.1650,0.6766,0.9424,-2.1096,-1.8596,-7.19,1,-2.516,-4.197,0.99,57,18.1,0,0.204
6,0.1980,0.6739,0.9369,-2.1150,-2.1050,-7.23,1,-2.575,-4.165,1.05,56,20.7,0,0.140
7,0.2310,0.8015,1.1585,-1.8935,-2.1410,-6.14,1,-2.817,-4.113,1.29,57,17.6,0,0.153
8,0.2640,0.8429,1.3324,-1.7196,-2.0628,-4.63,1,-3.184,-4.078,1.66,57,19.4,0,0.150
9,0.2970,0.9649,1.4114,-1.6405,-1.9568,-3.23,1,-3.546,-4.077,2.02,57,17.8,0,0.160
10,0.3300,0.9114,1.0319,-2.0200,-2.0439,-3.13,2,35.540,-4.140,2.02,57,19.4,1,0.176
11,0.3630,0.7910,1.1818,-1.8702,-2.0225,-2.46,1,-5.615,-4.227,4.09,57,15.3,0,0.224
12,0.3960,0.6414,0.9869,-2.0650,-2.0862,-2.36,1,72.840,-4.352,5.64,57,17.4,0,0.210
13,0.4290,0.4912,0.7962,-2.2558,-2.2054,-2.58,1,70.711,-4.355,7.76,58,15.7,0,0.271
14,0.4620,0.2148,1.0271,-2.0248,-2.1710,-1.94,3,,-4.127,7.76,58,17.3,0,0.082
15,0.4950,0.2318,0.6547,-2.3972,-2.3080,-2.33,3,,-3.744,7.76,57,15.0,0,0.137
16,0.5280,0.2831,0.5737,-2.4782,-2.4270,-2.56,3,,-3.285,7.76,55,16.4,0,0.141
17,0.5610,0.2714,0.4637,-2.5882,-2.5460,-2.75,3,,-2.913,7.76,52,16.1,0,0.232
