frame,t_s,theta_m1,theta,heading_raw,heading,rate_dps,tier,x_to_next_mm,y_offset_mm,travel_mm,otsu,sharpness,jump_rejected,fit_residual_px
0,0.0000,4.0164,3.2444,0.0000,0.0000,0.00,3,,-16.680,0.00,38,8.7,0,3.470
1,0.0330,4.4685,3.9973,0.7529,0.3388,1.83,3,,-17.706,0.00,33,7.1,0,1.924
2,0.0660,7.6683,3.2586,0.0142,0.2258,0.89,3,,-18.458,0.00,34,6.8,0,1.295
3,0.0990,7.1827,3.4876,0.2432,0.2498,0.86,3,,-19.258,0.00,36,10.0,0,0.293
4,0.1320,4.4324,3.3457,0.1013,0.1987,0.43,3,,-19.834,0.00,44,9.0,0,0.147
5,0.1650,4.1332,3.0941,-0.1503,0.0495,-0.45,3,,-19.935,0.00,54,9.8,0,0.179
6,0.1980,4.2210,3.6504,0.4060,0.2018,0.45,3,,-19.680,0.00,58,9.1,0,0.601
7,0.2310,4.1778,4.0430,0.7986,0.4786,1.86,3,,-19.090,0.00,63,14.7,0,1.324
8,0.2640,3.6368,3.5102,0.2658,0.4166,1.20,3,,-18.539,0.00,61,17.7,0,1.035
9,0.2970,3.7996,3.5592,0.3147,0.3925,0.86,3,,-18.048,0.00,59,16.5,0,1.397
10,0.3300,3.6966,3.1273,-0.1172,0.1787,-0.45,3,,-16.652,0.00,54,17.0,0,0.766
11,0.3630,3.3674,3.1312,-0.1132,0.0392,-1.12,3,,-15.835,0.00,51,19.1,0,0.260
12,0.3960,3.0139,3.3337,0.0893,0.0414,-0.91,3,,-15.400,0.00,48,14.6,0,1.629
13,0.4290,2.8507,2.8634,-0.3811,-0.1652,-1.86,3,,-14.838,0.00,45,20.1,0,1.945
14,0.4620,2.9203,2.8816,-0.3629,-0.2879,-2.19,3,,-15.104,0.00,43,14.5,0,2.286
15,0.4950,2.5208,2.7462,-0.4982,-0.4223,-2.53,2,39.108,-15.228,0.00,43,17.4,0,2.519
16,0.5280,2.5591,2.7631,-0.4813,-0.4947,-2.47,2,39.108,-15.222,0.00,43,16.9,0,2.503
17,0.5610,2.6314,2.6082,-0.6363,-0.6032,-2.61,2,39.108,-15.229,0.00,43,18.8,0,2.527
18,0.5940,3.4719,2.8830,-0.3614,-0.5418,-1.82,3,,-15.312,0.00,43,17.2,0,2.516
19,0.6270,2.5196,2.7677,-0.4767,-0.5455,-1.51,3,,-15.228,0.00,45,18.3,0,2.121
20,0.6600,2.5536,2.8343,-0.4101,-0.5121,-1.06,3,,-14.811,0.00,48,15.1,0,1.420
21,0.6930,2.4673,2.5337,-0.7108,-0.6208,-1.46,3,,-14.305,0.00,52,16.7,0,0.216
22,0.7260,2.6198,2.5239,-0.7206,-0.6922,-1.59,3,,-14.053,0.00,56,15.1,0,0.216
23,0.7590,2.6615,2.8069,-0.4376,-0.6064,-0.84,1,-2.646,-13.771,0.00,62,15.7,1,0.355
24,0.7920,3.3400,3.3259,0.0814,-0.3122,0.89,1,68.510,-13.082,-29.40,60,13.9,0,0.227
25,0.8250,4.1372,3.0425,-0.2020,-0.2464,1.09,3,,-13.119,-29.40,52,11.5,0,0.188
