frame,t_s,theta_m1,theta,heading_raw,heading,rate_dps,tier,x_to_next_mm,y_offset_mm,travel_mm,otsu,sharpness,jump_rejected,fit_residual_px
0,0.0000,1.4758,1.6159,0.0000,0.0000,0.00,1,-0.876,-1.813,0.00,63,24.4,0,0.189
1,0.0331,1.3870,1.5118,-0.1041,-0.0468,-0.25,1,-0.936,-1.798,0.06,63,23.2,0,0.115
2,0.0662,1.2314,1.3046,-0.3113,-0.1704,-0.87,1,-0.978,-1.787,0.10,63,21.7,0,0.163
3,0.0993,0.9749,1.0152,-0.6007,-0.3799,-1.84,1,-1.096,-1.819,0.22,63,23.6,0,0.233
4,0.1324,0.7854,0.7252,-0.8908,-0.6433,-2.93,1,-1.241,-1.839,0.37,63,21.1,0,0.259
5,0.1655,0.4671,0.3743,-1.2416,-0.9658,-4.14,1,-1.425,-1.874,0.55,63,22.1,0,0.240
6,0.1986,-0.0516,-0.1928,-1.8087,-1.4205,-5.85,1,-1.590,-1.814,0.71,63,19.7,0,0.096
7,0.2317,-0.7058,-0.8162,-2.4321,-1.9822,-7.82,1,-1.608,-1.671,0.73,63,25.2,0,0.132
8,0.2648,-1.8986,-1.7272,-3.3431,-2.7370,-10.49,1,-1.651,-1.459,0.78,63,21.7,0,0.189
9,0.2978,-2.7871,-2.7140,-4.3300,-3.6447,-13.50,1,-1.498,-1.278,0.62,63,22.7,0,0.201
10,0.3309,-3.8615,-3.7651,-5.3810,-4.6718,-16.62,1,-1.220,-1.254,0.34,64,22.0,0,0.180
11,0.3640,-4.7378,-4.8974,-6.5133,-5.8029,-19.74,1,-1.037,-1.302,0.16,64,27.8,0,0.131
12,0.3971,-5.9659,-6.1614,-7.7774,-7.0507,-22.93,1,-0.912,-1.191,0.04,64,22.5,0,0.229
13,0.4302,-7.3149,-7.3630,-8.9789,-8.3358,-25.76,1,-0.932,-1.312,0.06,63,23.5,0,0.225
14,0.4633,-8.2883,-8.2523,-9.8682,-9.4943,-27.40,1,-0.947,-1.412,0.07,63,23.9,0,0.179
15,0.4964,-8.7854,-8.8127,-10.4286,-10.4135,-27.47,1,-0.987,-1.435,0.11,63,27.6,0,0.169
16,0.5295,-9.6644,-9.7105,-11.3264,-11.3243,-27.48,1,-1.141,-1.424,0.27,63,22.7,0,0.159
17,0.5626,-10.7604,-10.6694,-12.2854,-12.2569,-27.60,1,-1.361,-1.264,0.48,63,21.0,0,0.137
18,0.5957,-11.7476,-11.6082,-13.2242,-13.1946,-27.73,1,-1.446,-0.897,0.57,63,21.1,0,0.159
19,0.6288,-12.7757,-12.7397,-14.3556,-14.2219,-28.32,1,-1.498,-0.505,0.62,63,27.6,0,0.174
20,0.6619,-13.7310,-13.7451,-15.3610,-15.2500,-28.81,1,-1.811,-0.069,0.93,63,23.0,0,0.140
21,0.6950,-14.9594,-14.8697,-16.4856,-16.3304,-29.49,1,-2.039,0.745,1.16,63,23.3,0,0.140
22,0.7281,-16.5219,-16.3871,-18.0030,-17.6199,-31.18,1,-2.138,2.032,1.26,63,26.2,0,0.090
23,0.7612,-17.0064,-16.8389,-18.4548,-18.5630,-30.70,1,-2.233,2.041,1.36,63,28.8,0,0.084
24,0.7943,-17.6071,-17.3483,-18.9642,-19.3023,-29.21,1,-2.199,1.775,1.32,63,23.6,0,0.112
25,0.8274,-18.8731,-18.6331,-20.2490,-20.2601,-29.16,1,-2.066,1.872,1.19,63,23.7,0,0.138
26,0.8605,-19.5188,-19.4371,-21.0530,-21.1478,-28.75,1,-1.854,1.468,0.98,63,22.5,0,0.063
27,0.8935,-20.2042,-20.0856,-21.7015,-21.9202,-27.79,1,-1.708,0.989,0.83,63,29.0,0,0.168
28,0.9266,-21.3372,-21.1919,-22.8078,-22.8254,-27.71,1,-1.510,1.044,0.63,62,23.5,0,0.146
29,0.9597,-22.1903,-22.0909,-23.7068,-23.7264,-27.62,1,-1.489,1.257,0.61,62,25.4,0,0.174
30,0.9928,-22.8034,-22.6967,-24.3126,-24.4930,-26.83,1,-1.497,1.320,0.62,62,24.3,0,0.082
31,1.0259,-23.3711,-23.4317,-25.0476,-25.2309,-26.02,1,-1.692,1.711,0.82,62,29.4,0,0.133
32,1.0590,-24.4566,-24.4555,-26.0714,-26.0828,-25.97,1,-1.948,2.657,1.07,62,25.1,0,0.103
33,1.0921,-25.2753,-25.4476,-27.0635,-26.9969,-26.27,1,-2.247,3.519,1.37,62,26.4,0,0.104
34,1.1252,-25.9310,-26.1945,-27.8105,-27.8411,-26.13,1,-2.349,4.135,1.47,62,26.1,0,0.097
35,1.1583,-26.4870,-26.6796,-28.2955,-28.5213,-25.14,1,-2.369,4.191,1.49,62,30.3,0,0.117
36,1.1914,-27.1989,-27.1658,-28.7817,-29.0961,-23.76,1,-2.341,3.816,1.47,62,23.6,0,0.109
37,1.2245,-27.5424,-27.6503,-29.2662,-29.6051,-22.27,1,-2.390,3.372,1.51,62,24.8,0,0.088
38,1.2576,-28.0068,-28.1570,-29.7729,-30.0859,-20.89,1,-2.377,2.935,1.50,62,23.2,0,0.123
39,1.2907,-28.5949,-28.6609,-30.2768,-30.5521,-19.68,1,-2.321,2.403,1.45,62,28.0,0,0.121
40,1.3238,-29.0381,-29.2186,-30.8345,-31.0375,-18.79,1,-2.294,1.822,1.42,62,23.1,0,0.199
41,1.3569,-29.8946,-29.7692,-31.3851,-31.5359,-18.13,1,-2.279,1.263,1.40,62,25.8,0,0.138
