t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
0.0045,1789123612.305,20933,junction,2.197,-11.331,0.872,44,32,0.188,0.313,118.2
0.0133,1789123612.314,20934,junction,2.217,-11.333,0.874,44,32,0.188,0.188,118.7
0.0215,1789123612.322,20935,junction,2.187,-11.334,0.875,43,32,0.313,0.313,118.1
0.0297,1789123612.331,20936,junction,2.217,-11.334,0.873,44,32,0.188,0.188,118.4
0.0387,1789123612.340,20937,junction,2.191,-11.337,0.872,45,32,0.188,0.313,118.9
0.0468,1789123612.348,20938,junction,2.196,-11.333,0.872,44,32,0.188,0.313,118.3
0.0549,1789123612.356,20939,junction,2.187,-11.331,0.873,44,32,0.188,0.313,118.7
0.0758,1789123612.377,20940,junction,2.216,-11.375,0.886,106,71,0.188,0.188,113.6
0.0841,1789123612.385,20941,junction,2.199,-11.337,0.872,43,32,0.188,0.313,104.1
0.0922,1789123612.393,20942,junction,2.209,-11.337,0.871,43,32,0.188,0.188,105.7
0.1009,1789123612.402,20943,junction,2.202,-11.337,0.875,44,32,0.188,0.188,107.2
0.1090,1789123612.410,20944,junction,2.199,-11.334,0.872,44,32,0.188,0.313,107.9
0.1171,1789123612.418,20945,junction,2.196,-11.334,0.875,44,32,0.188,0.313,109.2
0.1275,1789123612.428,20946,junction,2.213,-11.334,0.875,43,32,0.313,0.188,110.4
0.1354,1789123612.436,20947,junction,2.218,-11.337,0.872,44,32,0.188,0.188,110.5
0.1434,1789123612.444,20948,junction,2.224,-11.334,0.876,44,32,0.188,0.188,111.8
0.1531,1789123612.454,20949,junction,2.212,-11.33,0.872,43,32,0.188,0.188,112.9
0.1602,1789123612.461,20950,junction,2.197,-11.337,0.871,43,32,0.188,0.188,112.9
0.1675,1789123612.468,20951,junction,2.196,-11.337,0.876,43,32,0.188,0.313,113.9
0.1771,1789123612.478,20952,junction,2.219,-11.333,0.871,44,32,0.188,0.188,114.7
0.1846,1789123612.485,20953,junction,2.209,-11.337,0.871,43,32,0.313,0.188,114.4
0.1929,1789123612.494,20954,junction,2.22,-11.336,0.875,43,32,0.188,0.188,115.3
0.2019,1789123612.503,20955,junction,2.218,-11.334,0.875,44,32,0.188,0.188,116.1
0.2101,1789123612.511,20956,junction,2.208,-11.334,0.872,44,32,0.188,0.188,115.8
0.2176,1789123612.518,20957,junction,2.188,-11.337,0.872,44,32,0.313,0.188,116.6
0.2292,1789123612.530,20958,junction,2.196,-11.331,0.873,44,32,0.188,0.313,117.3
0.2352,1789123612.536,20959,junction,2.2,-11.334,0.872,44,32,0.188,0.188,116.7
0.2444,1789123612.545,20960,junction,2.19,-11.337,0.874,45,32,0.188,0.313,117.4
0.2528,1789123612.554,20961,junction,2.205,-11.334,0.872,43,32,0.188,0.188,118.0
0.2606,1789123612.561,20962,junction,2.208,-11.336,0.872,43,32,0.188,0.188,117.6
0.2705,1789123612.571,20963,junction,2.211,-11.34,0.874,44,32,0.188,0.188,118.2
0.2779,1789123612.579,20964,junction,2.193,-11.337,0.872,43,32,0.188,0.313,118.8
0.2846,1789123612.585,20965,junction,2.202,-11.336,0.872,44,32,0.188,0.188,118.1
0.2931,1789123612.594,20966,junction,2.201,-11.334,0.875,44,32,0.188,0.313,118.4
0.3021,1789123612.603,20967,junction,2.213,-11.33,0.872,43,32,0.188,0.188,118.9
0.3137,1789123612.615,20968,junction,2.186,-11.334,0.872,44,32,0.188,0.313,118.3
0.3181,1789123612.619,20969,junction,2.195,-11.334,0.872,44,32,0.188,0.313,118.8
0.3396,1789123612.641,20970,junction,2.22,-11.376,0.886,108,71,0.188,0.188,113.6
0.3470,1789123612.648,20971,junction,2.213,-11.333,0.876,44,32,0.188,0.188,104.1
0.3557,1789123612.657,20972,junction,2.199,-11.336,0.872,44,32,0.188,0.313,105.6
0.3639,1789123612.665,20973,junction,2.204,-11.333,0.872,44,32,0.188,0.188,107.2
0.3731,1789123612.674,20974,junction,2.218,-11.337,0.875,44,32,0.188,0.188,107.9
0.3962,1789123612.697,20975,junction,2.196,-11.331,0.872,43,32,0.188,0.313,109.2
0.3982,1789123612.699,20976,junction,2.206,-11.337,0.875,43,32,0.188,0.188,110.3
0.3984,1789123612.699,20977,junction,2.203,-11.336,0.872,43,32,0.188,0.313,110.5
0.4050,1789123612.706,20978,junction,2.219,-11.336,0.872,43,32,0.188,0.188,111.7
0.4140,1789123612.715,20979,junction,2.216,-11.334,0.871,44,32,0.188,0.188,112.9
0.4220,1789123612.723,20980,junction,2.2,-11.336,0.873,43,32,0.188,0.188,112.9
0.4301,1789123612.731,20981,junction,2.218,-11.337,0.872,43,32,0.188,0.188,113.9
0.4390,1789123612.740,20982,junction,2.203,-11.336,0.872,44,32,0.188,0.188,114.6
0.4473,1789123612.748,20983,junction,2.217,-11.337,0.872,44,32,0.188,0.188,114.4
0.4556,1789123612.757,20984,junction,2.216,-11.337,0.876,44,32,0.188,0.188,115.3
0.4644,1789123612.765,20985,junction,2.199,-11.334,0.875,44,32,0.188,0.188,116.0
0.4805,1789123612.781,20986,junction,2.189,-11.333,0.875,44,32,0.188,0.313,115.8
0.4807,1789123612.782,20987,junction,2.203,-11.334,0.872,44,32,0.188,0.188,116.5
0.4892,1789123612.790,20988,junction,2.214,-11.334,0.875,44,32,0.188,0.188,117.2
0.4988,1789123612.800,20989,junction,2.2,-11.334,0.872,44,32,0.188,0.313,115.1
0.5067,1789123612.808,20990,junction,2.193,-11.334,0.872,44,32,0.188,0.313,115.9
0.5155,1789123612.816,20991,junction,2.22,-11.333,0.872,43,32,0.188,0.188,116.7
0.5234,1789123612.824,20992,junction,2.21,-11.331,0.873,44,32,0.188,0.188,116.4
0.5316,1789123612.832,20993,junction,2.19,-11.334,0.877,43,32,0.188,0.313,117.2
0.5407,1789123612.842,20994,junction,2.194,-11.334,0.875,44,32,0.188,0.313,117.8
0.5487,1789123612.850,20995,junction,2.218,-11.334,0.874,43,32,0.188,0.188,117.1
0.5605,1789123612.861,20996,junction,2.202,-11.337,0.876,43,32,0.188,0.313,117.5
0.5655,1789123612.866,20997,junction,2.2,-11.336,0.871,43,32,0.188,0.188,118.2
0.5741,1789123612.875,20998,junction,2.2,-11.339,0.874,43,32,0.188,0.188,117.7
0.5824,1789123612.883,20999,junction,2.193,-11.336,0.875,43,32,0.188,0.313,118.2
0.6024,1789123612.903,21000,junction,2.217,-11.375,0.885,108,71,0.188,0.188,113.3
0.6113,1789123612.912,21001,junction,2.197,-11.334,0.872,44,32,0.188,0.313,103.9
