t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
0.0067,1789124167.327,12725,junction,1.777,-3.983,2.655,46,32,0.313,0.188,82.3
0.0224,1789124167.343,12726,junction,1.745,-3.985,2.652,46,32,0.188,0.313,83.6
0.0308,1789124167.351,12727,junction,1.763,-3.986,2.657,46,32,0.188,0.188,82.6
0.0431,1789124167.363,12728,junction,1.789,-3.985,2.651,46,32,0.313,0.188,85.2
0.0519,1789124167.372,12729,junction,1.76,-3.988,2.654,46,32,0.188,0.313,84.8
0.0643,1789124167.385,12730,junction,1.766,-3.985,2.653,46,32,0.188,0.188,86.9
0.0749,1789124167.395,12731,junction,1.77,-3.986,2.654,46,32,0.188,0.188,84.6
0.0882,1789124167.408,12732,junction,1.8,-3.999,2.649,46,32,0.313,0.188,87.1
0.0964,1789124167.417,12733,junction,1.773,-3.982,2.656,46,32,0.188,0.188,85.7
0.1088,1789124167.429,12734,junction,1.781,-3.986,2.655,46,32,0.313,0.313,88.4
0.1178,1789124167.438,12735,junction,1.756,-3.986,2.652,46,32,0.188,0.313,87.6
0.1333,1789124167.453,12736,junction,1.745,-3.981,2.653,46,32,0.188,0.313,87.8
0.1415,1789124167.462,12737,junction,1.773,-3.999,2.656,46,32,0.188,0.188,86.3
0.1549,1789124167.475,12738,junction,1.772,-3.983,2.653,46,32,0.188,0.188,88.7
0.1631,1789124167.483,12739,junction,1.753,-3.983,2.655,46,32,0.188,0.313,87.1
0.1756,1789124167.496,12740,junction,1.795,-3.985,2.651,46,32,0.313,0.188,89.7
0.1876,1789124167.508,12741,junction,1.758,-3.983,2.65,46,32,0.188,0.313,86.9
0.2004,1789124167.521,12742,junction,1.751,-3.986,2.655,46,32,0.188,0.313,88.2
0.2086,1789124167.529,12743,junction,1.772,-3.983,2.652,46,32,0.188,0.188,87.0
0.2223,1789124167.543,12744,junction,1.775,-3.988,2.653,46,32,0.188,0.188,89.6
0.2305,1789124167.551,12745,junction,1.754,-3.981,2.65,46,32,0.188,0.313,87.8
0.2455,1789124167.566,12746,junction,1.775,-3.99,2.651,46,32,0.188,0.188,88.6
0.2545,1789124167.575,12747,junction,1.767,-3.983,2.651,46,32,0.188,0.188,87.4
0.2675,1789124167.588,12748,junction,1.754,-3.988,2.654,46,32,0.188,0.313,89.2
0.2756,1789124167.596,12749,junction,1.778,-3.983,2.653,46,32,0.188,0.188,87.9
0.3020,1789124167.622,12750,junction,1.752,-4.006,2.7,117,69,0.188,0.188,86.4
0.3132,1789124167.633,12751,junction,1.784,-3.985,2.651,46,32,0.313,0.188,78.5
0.3258,1789124167.646,12752,junction,1.753,-3.986,2.656,46,32,0.313,0.313,80.8
0.3348,1789124167.655,12753,junction,1.758,-3.986,2.653,46,32,0.188,0.313,80.7
0.3472,1789124167.667,12754,junction,1.765,-3.986,2.652,46,32,0.188,0.313,83.0
0.3552,1789124167.675,12755,junction,1.746,-3.983,2.653,46,32,0.188,0.313,82.9
0.3716,1789124167.692,12756,junction,1.76,-3.986,2.656,46,32,0.188,0.188,84.1
0.3800,1789124167.700,12757,junction,1.772,-3.986,2.653,46,32,0.188,0.313,82.4
0.3925,1789124167.713,12758,junction,1.758,-3.988,2.654,46,32,0.188,0.313,85.1
0.4013,1789124167.721,12759,junction,1.794,-3.983,2.657,46,32,0.313,0.313,84.6
0.4137,1789124167.734,12760,junction,1.768,-3.982,2.653,46,32,0.188,0.188,86.8
0.4250,1789124167.745,12761,junction,1.745,-3.983,2.651,46,32,0.188,0.313,84.6
0.4387,1789124167.759,12762,junction,1.771,-3.985,2.651,46,32,0.188,0.188,86.6
0.4464,1789124167.767,12763,junction,1.756,-3.985,2.653,46,32,0.188,0.313,85.1
0.4632,1789124167.783,12764,junction,1.783,-3.983,2.656,46,32,0.188,0.188,87.9
0.4689,1789124167.789,12765,junction,1.772,-3.985,2.65,46,32,0.188,0.188,87.1
0.4837,1789124167.804,12766,junction,1.79,-3.983,2.655,46,32,0.313,0.188,87.3
0.4925,1789124167.813,12767,junction,1.751,-3.986,2.656,46,32,0.188,0.313,85.7
0.5052,1789124167.825,12768,junction,1.748,-4.0,2.65,46,32,0.188,0.313,88.5
0.5134,1789124167.834,12769,junction,1.794,-4.005,2.652,46,32,0.313,0.188,86.9
0.5258,1789124167.846,12770,junction,1.772,-3.988,2.654,46,32,0.188,0.188,89.6
