t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
0.0137,1789129706.640,274215,junction,-1.393,3.768,-3.19,42,32,0.313,0.188,65.7
0.0286,1789129706.655,274216,junction,-1.387,3.759,-3.185,43,32,0.313,0.188,65.5
0.0439,1789129706.670,274217,junction,-1.38,3.773,-2.745,42,32,0.313,0.188,65.7
0.0586,1789129706.685,274218,junction,-1.372,3.762,-3.186,42,32,0.313,0.188,65.8
0.0736,1789129706.700,274219,junction,-1.402,3.766,-3.218,42,32,0.313,0.188,65.5
0.0885,1789129706.715,274220,junction,-1.399,3.763,-3.197,43,32,0.313,0.188,66.0
0.1045,1789129706.731,274221,junction,-1.383,3.762,-3.185,41,32,0.313,0.188,66.0
0.1204,1789129706.747,274222,junction,-1.376,3.761,-3.177,41,32,0.313,0.188,65.7
0.1351,1789129706.761,274223,junction,-1.394,3.765,-3.185,42,32,0.313,0.188,65.8
0.1507,1789129706.777,274224,junction,-1.39,3.773,-2.741,42,32,0.313,0.188,65.8
0.1657,1789129706.792,274225,junction,-1.384,3.76,-3.186,41,32,0.313,0.188,65.5
0.1801,1789129706.806,274226,junction,-1.386,3.764,-3.185,42,32,0.313,0.188,65.6
0.1987,1789129706.825,274227,junction,-1.392,3.769,-3.175,42,32,0.313,0.188,65.6
0.2121,1789129706.838,274228,junction,-1.399,3.764,-3.186,42,32,0.313,0.188,65.4
0.2261,1789129706.852,274229,junction,-1.375,3.762,-3.208,43,32,0.313,0.188,65.4
0.2565,1789129706.883,274230,junction,-1.42,3.839,-3.096,106,69,0.313,0.188,62.8
0.2714,1789129706.898,274231,junction,-1.433,3.764,-3.224,42,32,0.438,0.188,60.2
0.2856,1789129706.912,274232,junction,-1.396,3.763,-3.209,43,32,0.313,0.188,61.0
0.3013,1789129706.928,274233,junction,-1.394,3.76,-3.245,42,32,0.438,0.188,61.7
0.3146,1789129706.941,274234,junction,-1.398,3.76,-3.188,42,32,0.313,0.188,62.1
0.3282,1789129706.955,274235,junction,-1.387,3.764,-3.178,42,32,0.313,0.188,62.9
0.3447,1789129706.971,274236,junction,-1.383,3.772,-3.167,43,32,0.313,0.188,63.5
0.3606,1789129706.987,274237,junction,-1.38,3.762,-3.182,42,32,0.313,0.188,63.8
0.3743,1789129707.001,274238,junction,-1.4,3.763,-3.209,42,32,0.313,0.188,64.2
0.3878,1789129707.014,274239,junction,-1.392,3.764,-3.184,41,32,0.313,0.188,64.6
0.4064,1789129707.033,274240,junction,-1.377,3.764,-3.179,43,32,0.313,0.188,64.6
0.4199,1789129707.046,274241,junction,-1.375,3.768,-3.187,42,32,0.313,0.188,65.1
0.4319,1789129707.058,274242,junction,-1.384,3.765,-3.217,42,32,0.313,0.188,65.5
0.4472,1789129707.073,274243,junction,-1.389,3.76,-3.217,42,32,0.313,0.188,65.7
0.4625,1789129707.089,274244,junction,-1.391,3.774,-3.186,42,32,0.313,0.188,65.8
0.4773,1789129707.104,274245,junction,-1.395,3.766,-3.21,43,32,0.313,0.188,65.9
0.4921,1789129707.118,274246,junction,-1.406,3.766,-3.189,42,32,0.313,0.188,65.8
0.5095,1789129707.136,274247,junction,-1.402,3.767,-3.192,43,32,0.313,0.188,65.9
0.5225,1789129707.149,274248,junction,-1.39,3.765,-3.186,42,32,0.313,0.188,66.3
0.5483,1789129707.175,274249,junction,-1.372,3.768,-2.744,43,32,0.313,0.188,66.1
0.5505,1789129707.177,274250,junction,-1.404,3.762,-3.186,43,32,0.313,0.188,66.3
0.5664,1789129707.193,274251,junction,-1.431,3.763,-3.185,43,32,0.438,0.188,66.9
0.5825,1789129707.209,274252,junction,-1.384,3.77,-3.195,42,32,0.313,0.188,66.4
0.6122,1789129707.239,274253,junction,-1.382,3.76,-3.177,42,32,0.313,0.188,66.4
0.6247,1789129707.251,274254,junction,-1.438,3.772,-2.7,43,32,0.313,0.188,66.4
0.6271,1789129707.253,274255,junction,-1.372,3.766,-3.184,42,32,0.313,0.188,66.2
0.6415,1789129707.268,274256,junction,-1.388,3.775,-2.705,41,32,0.313,0.188,66.3
0.6584,1789129707.285,274257,junction,-1.382,3.761,-3.204,41,32,0.313,0.188,66.1
0.6738,1789129707.300,274258,junction,-1.397,3.762,-3.188,42,32,0.313,0.188,65.8
0.7081,1789129707.334,274259,junction,-1.426,3.774,-2.773,41,32,0.313,0.188,65.8
0.7182,1789129707.345,274260,junction,-1.423,3.844,-3.116,107,70,0.313,0.188,63.0
