video_frame,t_s,wall_time
0,0.0084,1789129706.635
1,0.0250,1789129706.651
2,0.0371,1789129706.663
3,0.0611,1789129706.687
4,0.0771,1789129706.703
5,0.0851,1789129706.711
6,0.0991,1789129706.725
7,0.1111,1789129706.737
8,0.1272,1789129706.753
9,0.1431,1789129706.769
10,0.1592,1789129706.785
11,0.1845,1789129706.811
12,0.1889,1789129706.815
13,0.2073,1789129706.834
14,0.2352,1789129706.862
15,0.2592,1789129706.885
16,0.2631,1789129706.889
17,0.2812,1789129706.907
18,0.2953,1789129706.922
19,0.3100,1789129706.936
20,0.3312,1789129706.958
21,0.3472,1789129706.973
22,0.3539,1789129706.980
23,0.3653,1789129706.992
24,0.3913,1789129707.018
25,0.3954,1789129707.022
26,0.4221,1789129707.048
27,0.4373,1789129707.064
28,0.4413,1789129707.068
29,0.4658,1789129707.092
30,0.4703,1789129707.097
31,0.4952,1789129707.122
32,0.5094,1789129707.136
33,0.5191,1789129707.145
34,0.5474,1789129707.174
35,0.5532,1789129707.179
36,0.5698,1789129707.196
37,0.5831,1789129707.209
38,0.6234,1789129707.250
39,0.6242,1789129707.251
40,0.6243,1789129707.251
41,0.6452,1789129707.272
42,0.6491,1789129707.275
43,0.6672,1789129707.294
44,0.7055,1789129707.332
45,0.7212,1789129707.348
46,0.7250,1789129707.351
47,0.7410,1789129707.367
48,0.7652,1789129707.392
49,0.7690,1789129707.395
50,0.7863,1789129707.413
51,0.8093,1789129707.436
52,0.8171,1789129707.443
53,0.8291,1789129707.455
54,0.8452,1789129707.472
55,0.8702,1789129707.497
56,0.8730,1789129707.499
57,0.8993,1789129707.526
58,0.9152,1789129707.542
59,0.9240,1789129707.550
60,0.9454,1789129707.572
61,0.9490,1789129707.575
62,0.9631,1789129707.589
63,0.9895,1789129707.616
64,1.0051,1789129707.631
65,1.0095,1789129707.636
66,1.0252,1789129707.651
67,1.0513,1789129707.678
68,1.0551,1789129707.681
69,1.0712,1789129707.697
70,1.0930,1789129707.719
71,1.1031,1789129707.729
72,1.1172,1789129707.743
73,1.1495,1789129707.776
74,1.1532,1789129707.780
75,1.1691,1789129707.795
76,1.1910,1789129707.817
77,1.2108,1789129707.837
78,1.2212,1789129707.847
79,1.2455,1789129707.872
80,1.2553,1789129707.882
81,1.2691,1789129707.895
82,1.2811,1789129707.907
83,1.3059,1789129707.932
84,1.3093,1789129707.936
85,1.3250,1789129707.951
86,1.3533,1789129707.980
87,1.3594,1789129707.986
88,1.3711,1789129707.997
89,1.3839,1789129708.010
90,1.4096,1789129708.036
91,1.4252,1789129708.052
92,1.4354,1789129708.062
93,1.4451,1789129708.071
94,1.4610,1789129708.087
95,1.4750,1789129708.101
96,1.4999,1789129708.126
97,1.5161,1789129708.142
98,1.5213,1789129708.148
99,1.5463,1789129708.173
100,1.5612,1789129708.188
101,1.5650,1789129708.191
102,1.5811,1789129708.207
103,1.5971,1789129708.223
104,1.6272,1789129708.253
105,1.6513,1789129708.278
106,1.6612,1789129708.287
107,1.6709,1789129708.297
108,1.6952,1789129708.322
109,1.6990,1789129708.325
110,1.7130,1789129708.339
111,1.7394,1789129708.366
112,1.7473,1789129708.374
113,1.7674,1789129708.394
114,1.7833,1789129708.410
115,1.7929,1789129708.419
116,1.8135,1789129708.440
117,1.8172,1789129708.443
118,1.8351,1789129708.461
119,1.8573,1789129708.484
120,1.8733,1789129708.500
121,1.8793,1789129708.506
122,1.8930,1789129708.519
123,1.9193,1789129708.546
124,1.9355,1789129708.562
125,1.9412,1789129708.567
126,1.9689,1789129708.595
127,1.9867,1789129708.613
128,1.9874,1789129708.614
129,2.0092,1789129708.635
130,2.0409,1789129708.667
131,2.0413,1789129708.668
132,2.0471,1789129708.673
133,2.0733,1789129708.700
134,2.0771,1789129708.703
135,2.1153,1789129708.742
136,2.1192,1789129708.745
137,2.1355,1789129708.762
138,2.1604,1789129708.787
139,2.1711,1789129708.797
140,2.1770,1789129708.803
141,2.2035,1789129708.830
142,2.2073,1789129708.834
143,2.2341,1789129708.860
144,2.2476,1789129708.874
145,2.2551,1789129708.881
146,2.2773,1789129708.904
147,2.2810,1789129708.907
148,2.3072,1789129708.934
149,2.3113,1789129708.938
150,2.3297,1789129708.956
151,2.3430,1789129708.969
152,2.3672,1789129708.994
153,2.3798,1789129709.006
154,2.3931,1789129709.019
155,2.4031,1789129709.029
156,2.4272,1789129709.053
157,2.4438,1789129709.070
158,2.4515,1789129709.078
159,2.4652,1789129709.091
160,2.4872,1789129709.114
161,2.5049,1789129709.131
162,2.5097,1789129709.136
163,2.5230,1789129709.149
