t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
0.0053,1789129817.458,284552,y,11.059,,10.267,51,34,1.313,,63.0
0.0205,1789129817.473,284553,y,11.054,,10.269,51,34,1.438,,64.2
0.0336,1789129817.486,284554,y,10.365,,10.323,51,34,0.938,,64.4
0.0479,1789129817.501,284555,y,10.993,,10.253,51,34,1.313,,65.1
0.0628,1789129817.515,284556,y,11.053,,10.268,51,34,1.438,,65.7
0.0766,1789129817.529,284557,y,10.587,,10.296,51,34,1.063,,66.1
0.0907,1789129817.543,284558,y,11.006,,10.253,51,34,1.313,,66.5
0.1071,1789129817.560,284559,junction,8.858,-26.51,5.16,50,34,0.938,2.563,67.0
0.1223,1789129817.575,284560,y,11.063,,10.268,51,28,1.438,,66.4
0.1342,1789129817.587,284561,y,11.072,,10.266,51,34,1.313,,67.0
0.1493,1789129817.602,284562,y,10.999,,10.251,51,35,1.313,,67.3
0.1637,1789129817.616,284563,y,10.363,,10.321,51,34,0.938,,67.6
0.1797,1789129817.632,284564,y,10.374,,10.321,51,34,0.938,,67.8
0.1932,1789129817.646,284565,y,10.811,,10.272,51,34,1.313,,67.9
0.2079,1789129817.661,284566,y,10.814,,10.27,51,34,1.188,,67.6
0.2223,1789129817.675,284567,y,11.059,,10.269,51,34,1.438,,67.8
0.2381,1789129817.691,284568,y,11.065,,10.264,51,34,1.313,,67.9
0.2526,1789129817.705,284569,y,11.067,,10.271,51,34,1.313,,67.6
0.2668,1789129817.719,284570,y,11.065,,10.267,51,35,1.313,,67.7
0.2818,1789129817.734,284571,y,11.067,,10.265,51,34,1.438,,67.9
0.2963,1789129817.749,284572,y,11.066,,10.265,51,34,1.313,,67.5
0.3128,1789129817.765,284573,y,10.824,,10.27,51,34,1.188,,67.1
0.3278,1789129817.780,284574,y,11.063,,10.267,51,34,1.313,,67.3
0.3429,1789129817.796,284575,y,10.813,,10.272,51,34,1.188,,67.0
0.3569,1789129817.810,284576,y,11.065,,10.267,51,34,1.313,,67.2
0.3720,1789129817.825,284577,y,10.821,,10.271,51,34,1.188,,67.3
0.3879,1789129817.841,284578,y,10.375,,10.324,51,34,0.938,,66.8
0.4017,1789129817.854,284579,y,11.006,,10.247,51,34,1.313,,67.0
0.4341,1789129817.887,284580,junction,9.089,-25.941,5.317,131,87,0.938,2.188,64.5
0.4440,1789129817.897,284581,y,11.069,,10.269,51,28,1.438,,61.7
0.4579,1789129817.911,284582,y,11.058,,10.269,51,34,1.438,,62.8
0.4730,1789129817.926,284583,y,10.602,,10.297,51,34,1.063,,63.6
0.4860,1789129817.939,284584,y,11.043,,10.269,51,34,1.438,,64.0
0.5008,1789129817.953,284585,y,10.378,,10.322,51,34,0.938,,64.7
0.5170,1789129817.970,284586,y,10.818,,10.27,51,34,1.188,,65.3
0.5330,1789129817.986,284587,y,10.369,,10.322,51,34,0.938,,65.7
0.5433,1789129817.996,284588,y,10.82,,10.271,51,34,1.188,,66.2
0.5584,1789129818.011,284589,y,10.998,,10.25,51,34,1.188,,66.6
0.5720,1789129818.025,284590,y,10.374,,10.32,51,34,0.938,,66.5
0.6110,1789129818.064,284591,y,11.056,,10.268,51,34,1.438,,66.9
0.6111,1789129818.064,284592,y,10.594,,10.296,51,34,1.063,,67.2
0.6156,1789129818.068,284593,y,10.592,,10.298,51,34,0.938,,67.5
0.6299,1789129818.083,284594,y,10.994,,10.251,51,34,1.313,,67.7
0.6453,1789129818.098,284595,y,11.059,,10.269,51,34,1.438,,67.9
0.6596,1789129818.112,284596,y,11.05,,10.27,51,34,1.438,,67.6
0.6741,1789129818.127,284597,y,11.062,,10.27,51,35,1.438,,67.8
0.6888,1789129818.141,284598,y,11.014,,10.248,51,34,1.313,,68.0
0.7062,1789129818.159,284599,y,11.019,,10.25,51,34,1.313,,67.7
0.7182,1789129818.171,284600,y,11.062,,10.266,51,34,1.313,,68.1
0.7330,1789129818.186,284601,y,11.025,,10.248,51,34,1.313,,68.0
0.7485,1789129818.201,284602,y,11.061,,10.267,51,34,1.438,,67.6
0.7632,1789129818.216,284603,y,11.064,,10.271,51,34,1.313,,67.8
0.7783,1789129818.231,284604,y,11.002,,10.251,51,34,1.313,,67.9
0.7920,1789129818.245,284605,y,11.062,,10.267,51,34,1.438,,67.5
0.8069,1789129818.260,284606,y,11.013,,10.251,51,34,1.313,,67.9
0.8231,1789129818.276,284607,y,11.072,,10.268,51,34,1.313,,68.0
0.8369,1789129818.290,284608,y,11.07,,10.266,51,34,1.438,,67.3
0.8523,1789129818.305,284609,y,11.075,,10.267,51,34,1.438,,67.4
0.8804,1789129818.333,284610,junction,9.125,-25.938,5.301,130,87,1.063,2.188,64.8
0.8936,1789129818.346,284611,y,11.063,,10.268,51,30,1.438,,62.0
0.9076,1789129818.360,284612,y,11.049,,10.269,51,34,1.438,,63.1
0.9227,1789129818.375,284613,y,11.063,,10.267,51,35,1.313,,64.1
0.9371,1789129818.390,284614,junction,9.373,-25.971,5.218,50,34,1.438,2.063,64.4
0.9511,1789129818.404,284615,y,11.015,,10.251,51,28,1.313,,64.6
0.9655,1789129818.418,284616,y,11.062,,10.268,51,34,1.438,,65.4
0.9804,1789129818.433,284617,y,11.057,,10.267,51,34,1.438,,65.6
0.9932,1789129818.446,284618,y,11.063,,10.265,51,34,1.313,,66.1
1.0087,1789129818.461,284619,y,10.363,,10.325,51,34,0.938,,66.7
1.0244,1789129818.477,284620,y,10.384,,10.32,51,34,0.938,,66.8
1.0374,1789129818.490,284621,y,10.375,,10.321,51,34,0.938,,67.1
1.0521,1789129818.505,284622,y,11.057,,10.27,51,34,1.438,,67.3
1.0659,1789129818.519,284623,y,11.061,,10.268,51,35,1.313,,67.2
1.0843,1789129818.537,284624,y,11.061,,10.269,51,34,1.313,,67.5
1.0956,1789129818.548,284625,y,11.062,,10.265,51,34,1.313,,68.2
1.1113,1789129818.564,284626,junction,9.376,-25.965,5.216,50,34,1.313,2.063,67.7
1.1260,1789129818.579,284627,y,11.068,,10.266,51,29,1.438,,67.4
1.1465,1789129818.599,284628,y,11.004,,10.252,51,34,1.313,,67.8
1.1544,1789129818.607,284629,y,10.585,,10.297,51,34,1.063,,67.6
1.1682,1789129818.621,284630,y,11.071,,10.269,51,34,1.313,,67.9
1.1836,1789129818.636,284631,y,11.051,,10.27,51,34,1.313,,68.0
1.1983,1789129818.651,284632,y,11.06,,10.267,51,34,1.438,,67.6
1.2124,1789129818.665,284633,y,11.063,,10.267,51,34,1.313,,68.2
1.2281,1789129818.681,284634,y,10.812,,10.269,51,34,1.313,,68.2
1.2423,1789129818.695,284635,y,11.062,,10.267,51,34,1.313,,67.7
1.2566,1789129818.709,284636,y,11.069,,10.268,51,35,1.313,,67.8
1.2724,1789129818.725,284637,y,10.995,,10.255,51,34,1.313,,68.4
1.2868,1789129818.739,284638,y,11.01,,10.25,51,34,1.313,,67.7
1.3011,1789129818.754,284639,y,11.063,,10.269,51,34,1.438,,67.7
1.3298,1789129818.782,284640,junction,9.096,-25.938,5.299,130,87,1.063,2.188,65.1
1.3452,1789129818.798,284641,y,11.07,,10.265,51,30,1.438,,61.9
1.3582,1789129818.811,284642,y,11.064,,10.268,52,34,1.313,,62.9
