video_frame,t_s,wall_time
0,0.0087,1789129817.461
1,0.0126,1789129817.465
2,0.0370,1789129817.490
3,0.0507,1789129817.503
4,0.0667,1789129817.519
5,0.0749,1789129817.528
6,0.0867,1789129817.539
7,0.1006,1789129817.553
8,0.1230,1789129817.576
9,0.1368,1789129817.589
10,0.1532,1789129817.606
11,0.1587,1789129817.611
12,0.1728,1789129817.625
13,0.1866,1789129817.639
14,0.2027,1789129817.655
15,0.2166,1789129817.669
16,0.2288,1789129817.681
17,0.2468,1789129817.699
18,0.2589,1789129817.712
19,0.2858,1789129817.738
20,0.2896,1789129817.742
21,0.3074,1789129817.760
22,0.3309,1789129817.784
23,0.3354,1789129817.788
24,0.3532,1789129817.806
25,0.3752,1789129817.828
26,0.3909,1789129817.844
27,0.4008,1789129817.853
28,0.4166,1789129817.869
29,0.4500,1789129817.903
30,0.4507,1789129817.903
31,0.4688,1789129817.921
32,0.4904,1789129817.943
33,0.5167,1789129817.969
34,0.5323,1789129817.985
35,0.5337,1789129817.986
36,0.5386,1789129817.991
37,0.5526,1789129818.005
38,0.5748,1789129818.027
39,0.6088,1789129818.061
40,0.6104,1789129818.063
41,0.6107,1789129818.063
42,0.6240,1789129818.077
43,0.6387,1789129818.091
44,0.6546,1789129818.107
45,0.6697,1789129818.122
46,0.6928,1789129818.145
47,0.7007,1789129818.153
48,0.7147,1789129818.167
49,0.7390,1789129818.192
50,0.7427,1789129818.195
51,0.7656,1789129818.218
52,0.7861,1789129818.239
53,0.7865,1789129818.239
54,0.8006,1789129818.253
55,0.8166,1789129818.269
56,0.8468,1789129818.299
57,0.8469,1789129818.300
58,0.8830,1789129818.336
59,0.8967,1789129818.349
60,0.9067,1789129818.359
61,0.9192,1789129818.372
62,0.9409,1789129818.394
63,0.9468,1789129818.399
64,0.9688,1789129818.421
65,0.9747,1789129818.427
66,0.9974,1789129818.450
67,1.0045,1789129818.457
68,1.0236,1789129818.476
69,1.0326,1789129818.485
70,1.0549,1789129818.508
71,1.0689,1789129818.522
72,1.0838,1789129818.536
73,1.0886,1789129818.541
74,1.1048,1789129818.557
75,1.1274,1789129818.580
76,1.1460,1789129818.599
77,1.1487,1789129818.601
78,1.1708,1789129818.623
79,1.1867,1789129818.639
80,1.2062,1789129818.659
81,1.2084,1789129818.661
82,1.2320,1789129818.685
83,1.2448,1789129818.698
84,1.2647,1789129818.717
85,1.2667,1789129818.719
86,1.2888,1789129818.741
87,1.3109,1789129818.764
88,1.3286,1789129818.781
89,1.3390,1789129818.792
90,1.3609,1789129818.814
91,1.3771,1789129818.830
92,1.3810,1789129818.834
93,1.3967,1789129818.849
94,1.4207,1789129818.873
95,1.4329,1789129818.886
96,1.4367,1789129818.889
97,1.4527,1789129818.905
98,1.4747,1789129818.927
99,1.4908,1789129818.944
100,1.5048,1789129818.957
101,1.5128,1789129818.965
102,1.5308,1789129818.983
103,1.5390,1789129818.992
104,1.5532,1789129819.006
105,1.5709,1789129819.024
106,1.5930,1789129819.046
107,1.5967,1789129819.049
108,1.6159,1789129819.069
109,1.6395,1789129819.092
110,1.6446,1789129819.097
111,1.6589,1789129819.112
112,1.6810,1789129819.134
113,1.7029,1789129819.156
114,1.7187,1789129819.171
115,1.7328,1789129819.185
116,1.7520,1789129819.205
117,1.7670,1789129819.220
118,1.7733,1789129819.226
119,1.7999,1789129819.253
120,1.8027,1789129819.255
121,1.8166,1789129819.269
122,1.8389,1789129819.292
123,1.8538,1789129819.306
124,1.8752,1789129819.328
125,1.8812,1789129819.334
126,1.8961,1789129819.349
127,1.9087,1789129819.361
128,1.9328,1789129819.385
129,1.9455,1789129819.398
130,1.9609,1789129819.414
131,1.9668,1789129819.419
132,1.9852,1789129819.438
133,1.9946,1789129819.447
134,2.0188,1789129819.471
135,2.0228,1789129819.475
