t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
0.0087,1789129893.177,290261,junction,0.68,14.039,-5.115,47,22,0.438,0.313,64.2
0.0237,1789129893.192,290262,junction,0.766,14.151,-5.115,46,22,0.438,0.313,64.5
0.0385,1789129893.207,290263,junction,0.669,14.244,-5.07,46,22,0.438,0.188,64.4
0.0533,1789129893.221,290264,junction,0.764,14.338,-5.043,45,22,0.438,0.188,64.7
0.0710,1789129893.239,290265,junction,0.834,14.425,-5.025,46,23,0.438,0.188,65.0
0.0850,1789129893.253,290266,junction,1.051,14.542,-4.995,46,23,0.438,0.313,64.8
0.0993,1789129893.267,290267,junction,1.171,14.66,-4.979,46,22,0.438,0.313,65.0
0.1154,1789129893.284,290268,junction,1.194,14.71,-4.959,46,23,0.438,0.313,65.2
0.1299,1789129893.298,290269,junction,1.178,14.741,-4.948,45,23,0.438,0.313,65.0
0.1450,1789129893.313,290270,junction,1.191,14.759,-4.936,45,23,0.438,0.313,65.2
0.1674,1789129893.336,290271,junction,1.225,14.759,-4.935,45,23,0.313,0.313,65.6
0.1764,1789129893.345,290272,junction,1.191,14.744,-4.929,45,22,0.438,0.313,65.1
0.1909,1789129893.359,290273,junction,1.185,14.714,-4.924,46,23,0.438,0.313,65.2
0.2078,1789129893.376,290274,junction,1.161,14.675,-4.928,46,22,0.438,0.313,65.2
0.2274,1789129893.396,290275,junction,1.079,14.607,-4.939,47,22,0.438,0.313,65.0
0.2378,1789129893.406,290276,junction,0.997,14.515,-4.957,47,22,0.563,0.313,65.1
0.2543,1789129893.423,290277,junction,0.958,14.461,-4.963,47,22,0.563,0.313,65.2
0.2699,1789129893.438,290278,junction,0.901,14.411,-4.954,46,22,0.438,0.188,64.7
0.2890,1789129893.457,290279,junction,0.839,14.403,-4.968,45,22,0.438,0.188,64.7
0.3167,1789129893.485,290280,y,1.569,,-5.251,111,62,0.438,9.063,62.1
0.3321,1789129893.500,290281,junction,1.058,14.709,-4.978,46,24,0.438,0.188,59.1
0.3486,1789129893.517,290282,junction,0.997,14.541,-4.996,46,23,0.438,0.313,59.6
0.3640,1789129893.532,290283,junction,1.006,14.576,-5.008,47,23,0.438,0.313,60.4
0.3792,1789129893.547,290284,junction,1.19,14.673,-5.019,46,23,0.438,0.313,60.9
0.3901,1789129893.558,290285,junction,1.176,14.774,-5.067,45,24,0.438,0.313,61.5
0.4169,1789129893.585,290286,junction,1.174,14.855,-5.113,45,24,0.438,0.438,62.1
0.4218,1789129893.590,290287,junction,1.093,14.961,-5.158,46,24,0.438,0.313,62.1
0.4391,1789129893.607,290288,junction,1.204,15.055,-5.178,46,24,0.438,0.313,62.5
0.4516,1789129893.620,290289,junction,1.205,15.109,-5.22,46,24,0.563,0.313,63.0
0.4666,1789129893.635,290290,junction,1.307,15.181,-5.252,45,24,0.438,0.313,63.1
0.4810,1789129893.649,290291,junction,1.245,15.238,-5.272,45,23,0.438,0.313,63.9
0.5055,1789129893.674,290292,junction,1.448,15.304,-5.289,45,23,0.438,0.313,64.1
0.5114,1789129893.680,290293,junction,1.421,15.32,-5.3,45,23,0.438,0.313,64.2
0.5265,1789129893.695,290294,junction,1.466,15.339,-5.309,45,23,0.438,0.313,64.4
0.5417,1789129893.710,290295,junction,1.344,15.307,-5.346,46,23,0.563,0.313,64.6
0.5629,1789129893.731,290296,junction,1.199,15.261,-5.378,46,23,0.438,0.188,64.5
0.5718,1789129893.740,290297,junction,1.289,15.188,-5.4,46,23,0.438,0.313,65.2
0.5925,1789129893.761,290298,junction,1.219,15.098,-5.409,46,23,0.438,0.313,65.1
0.6022,1789129893.770,290299,junction,1.187,15.035,-5.432,46,23,0.438,0.313,64.7
0.6178,1789129893.786,290300,junction,1.108,14.951,-5.466,45,23,0.563,0.313,64.9
0.6342,1789129893.802,290301,junction,1.125,14.812,-5.499,45,23,0.438,0.313,65.2
0.6486,1789129893.817,290302,junction,1.05,14.704,-5.535,46,23,0.438,0.313,64.8
0.6639,1789129893.832,290303,junction,0.897,14.528,-5.585,47,23,0.438,0.313,64.9
0.6807,1789129893.849,290304,junction,0.649,14.307,-5.574,44,23,0.563,0.313,65.3
0.6960,1789129893.864,290305,junction,0.64,14.086,-5.553,44,23,0.438,0.313,64.8
0.7107,1789129893.879,290306,junction,0.549,13.901,-5.526,43,24,0.438,0.313,64.9
0.7260,1789129893.894,290307,junction,0.521,13.673,-5.533,44,24,0.438,0.313,65.0
0.7421,1789129893.910,290308,junction,0.507,13.495,-5.516,45,24,0.438,0.313,64.6
0.7573,1789129893.925,290309,junction,0.35,13.339,-5.508,46,24,0.438,0.313,64.8
0.7877,1789129893.956,290310,y,0.769,,-5.592,113,66,0.313,31.938,62.3
0.8039,1789129893.972,290311,y,0.84,,-5.607,45,27,0.438,31.938,59.3
0.8188,1789129893.987,290312,y,0.75,,-5.6,46,28,0.438,31.938,59.8
0.8341,1789129894.002,290313,y,0.759,,-5.567,45,26,0.438,31.938,60.3
0.8498,1789129894.018,290314,y,0.731,,-5.587,45,26,0.438,31.938,60.4
0.8656,1789129894.034,290315,y,0.75,,-5.603,45,27,0.438,31.938,61.1
0.8817,1789129894.050,290316,y,0.85,,-5.663,45,28,0.438,31.938,61.5
0.8999,1789129894.068,290317,y,0.885,,-5.736,44,28,0.438,31.938,61.3
0.9130,1789129894.081,290318,y,0.904,,-5.793,45,27,0.313,31.938,61.6
0.9294,1789129894.098,290319,y,0.927,,-5.842,44,27,0.313,31.938,61.8
0.9454,1789129894.114,290320,y,0.865,,-5.881,44,26,0.438,31.938,61.7
0.9606,1789129894.129,290321,y,0.957,,-5.94,44,26,0.438,31.938,62.0
0.9766,1789129894.145,290322,y,1.056,,-5.996,44,25,0.313,31.938,62.2
0.9923,1789129894.160,290323,y,1.124,,-6.073,44,26,0.313,31.938,62.3
1.0072,1789129894.175,290324,y,1.194,,-6.111,44,26,0.438,31.063,62.3
1.0242,1789129894.192,290325,y,1.232,,-6.176,45,26,0.438,31.938,62.4
1.0400,1789129894.208,290326,y,1.256,,-6.268,46,27,0.438,31.938,62.4
1.0558,1789129894.224,290327,y,1.506,,-6.301,46,28,0.563,31.938,62.4
1.0755,1789129894.244,290328,y,1.56,,-6.32,47,28,0.438,31.938,62.5
1.0891,1789129894.257,290329,y,1.425,,-6.348,46,28,0.438,31.938,62.2
1.1051,1789129894.273,290330,y,1.516,,-6.396,45,28,0.438,31.938,62.3
1.1235,1789129894.292,290331,y,1.601,,-6.417,44,28,0.438,31.938,62.2
1.1373,1789129894.305,290332,y,1.527,,-6.469,44,28,0.563,31.938,61.8
1.1537,1789129894.322,290333,y,1.458,,-6.476,44,28,0.563,31.938,62.1
1.1706,1789129894.339,290334,y,1.502,,-6.494,45,28,0.563,31.938,62.0
1.1903,1789129894.359,290335,y,1.513,,-6.481,44,28,0.563,31.938,61.7
1.2022,1789129894.370,290336,y,1.49,,-6.458,44,28,0.563,31.938,61.7
1.2209,1789129894.389,290337,y,1.47,,-6.469,44,28,0.438,31.938,61.7
1.2381,1789129894.406,290338,y,1.459,,-6.432,44,27,0.563,31.938,61.4
1.2522,1789129894.420,290339,y,1.405,,-6.465,44,28,0.313,31.938,61.5
1.2831,1789129894.451,290340,y,1.506,,-6.5,113,68,0.438,31.938,59.1
1.2985,1789129894.467,290341,y,1.203,,-6.579,45,28,0.313,31.938,56.4
1.3139,1789129894.482,290342,y,1.169,,-6.66,46,27,0.438,31.938,57.2
1.3303,1789129894.499,290343,y,1.03,,-6.741,43,27,0.438,31.938,57.9
1.3457,1789129894.514,290344,y,0.819,,-6.774,46,27,0.313,31.938,58.6
1.3609,1789129894.529,290345,y,0.814,,-6.919,46,26,0.438,31.938,59.0
1.3777,1789129894.546,290346,y,0.671,,-7.012,44,27,0.438,31.938,59.5
1.3935,1789129894.562,290347,y,0.649,,-7.14,45,27,0.438,31.938,59.7
1.4090,1789129894.577,290348,y,0.692,,-7.247,46,27,0.438,31.938,60.0
1.4247,1789129894.593,290349,y,0.657,,-7.306,46,27,0.438,31.938,60.4
1.4425,1789129894.611,290350,y,0.648,,-7.378,45,28,0.438,31.938,59.8
1.4577,1789129894.626,290351,y,0.643,,-7.415,45,27,0.438,31.938,60.3
1.4787,1789129894.647,290352,y,0.638,,-7.456,45,27,0.438,31.938,60.6
1.4902,1789129894.658,290353,y,0.636,,-7.461,46,27,0.563,31.938,60.8
1.5056,1789129894.674,290354,y,0.757,,-7.48,45,27,0.438,31.938,60.9
1.5223,1789129894.691,290355,y,0.849,,-7.454,45,26,0.563,31.938,61.1
1.5411,1789129894.709,290356,y,0.886,,-7.311,45,25,0.563,31.938,61.3
1.5543,1789129894.723,290357,y,0.84,,-7.202,44,25,0.563,31.938,61.3
1.5706,1789129894.739,290358,y,0.715,,-7.056,44,25,0.688,31.938,61.4
1.5866,1789129894.755,290359,y,0.975,,-7.091,44,25,0.438,31.938,61.5
1.6017,1789129894.770,290360,y,1.016,,-7.045,44,25,0.438,31.938,61.5
1.6197,1789129894.788,290361,y,0.943,,-7.013,44,26,0.438,31.938,61.6
1.6354,1789129894.804,290362,y,1.051,,-7.006,44,26,0.438,31.938,61.6
1.6515,1789129894.820,290363,y,0.957,,-6.959,44,26,0.563,31.938,61.6
1.6687,1789129894.837,290364,y,0.971,,-6.922,45,26,0.688,31.938,61.6
1.6843,1789129894.852,290365,y,0.981,,-6.903,46,27,0.688,31.938,61.1
1.7009,1789129894.869,290366,y,0.97,,-6.898,46,26,0.813,31.938,61.2
1.7199,1789129894.888,290367,y,1.095,,-7.015,46,26,0.563,31.938,61.4
1.7337,1789129894.902,290368,y,1.029,,-7.105,45,25,0.438,31.938,61.0
1.7501,1789129894.918,290369,y,0.975,,-7.116,45,26,0.438,31.938,61.4
1.7809,1789129894.949,290370,y,0.939,,-7.19,110,61,0.438,31.938,59.0
1.7967,1789129894.965,290371,y,0.808,,-7.405,44,23,0.438,31.938,56.2
1.8125,1789129894.981,290372,y,0.714,,-7.497,44,24,0.438,31.938,57.2
