t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
0.0112,1789129949.859,294887,junction,0.409,18.76,1.081,44,32,0.188,1.188,65.5
0.0266,1789129949.875,294888,junction,0.415,18.778,1.083,44,32,0.188,1.188,65.7
0.0438,1789129949.892,294889,junction,0.444,18.759,1.091,44,32,0.188,1.063,64.8
0.0644,1789129949.912,294890,junction,0.396,18.834,1.108,44,32,0.188,1.188,65.1
0.0744,1789129949.922,294891,junction,0.409,18.835,1.106,44,32,0.188,1.188,65.2
0.0887,1789129949.937,294892,junction,0.409,18.847,1.111,44,32,0.188,1.188,65.0
0.1036,1789129949.952,294893,junction,0.417,18.849,1.115,44,32,0.188,1.188,65.1
0.1273,1789129949.975,294894,junction,0.409,18.851,1.114,44,32,0.188,1.188,65.6
0.1353,1789129949.983,294895,junction,0.411,18.856,1.12,44,32,0.188,1.188,65.1
0.1497,1789129949.998,294896,junction,0.396,18.864,1.118,44,32,0.188,1.188,65.2
0.1666,1789129950.015,294897,junction,0.415,18.857,1.122,44,32,0.188,1.188,65.3
0.1908,1789129950.039,294898,junction,0.416,18.861,1.122,44,32,0.188,1.188,65.0
0.1960,1789129950.044,294899,junction,0.421,18.864,1.118,44,32,0.188,1.188,65.0
0.2271,1789129950.075,294900,junction,0.434,18.831,1.151,111,77,0.188,1.188,62.5
0.2415,1789129950.089,294901,junction,0.441,18.866,1.12,44,32,0.188,1.188,59.8
0.2558,1789129950.104,294902,junction,0.426,18.864,1.128,44,32,0.188,1.188,60.6
0.2704,1789129950.118,294903,junction,0.432,18.86,1.132,44,32,0.188,1.188,61.2
0.2852,1789129950.133,294904,junction,0.432,18.863,1.138,44,31,0.188,1.188,61.7
0.3007,1789129950.149,294905,junction,0.433,18.865,1.136,44,31,0.188,1.188,62.4
0.3155,1789129950.163,294906,junction,0.429,18.867,1.14,44,32,0.188,1.188,63.1
0.3294,1789129950.177,294907,junction,0.432,18.875,1.149,44,31,0.188,1.188,63.1
0.3441,1789129950.192,294908,junction,0.415,18.874,1.152,44,31,0.188,1.188,63.6
0.3638,1789129950.212,294909,junction,0.416,18.875,1.163,44,31,0.188,1.188,64.4
0.3740,1789129950.222,294910,junction,0.367,18.891,1.207,44,31,0.188,1.188,64.2
0.3892,1789129950.237,294911,junction,0.336,18.924,1.228,44,31,0.188,1.188,64.5
0.4046,1789129950.253,294912,junction,0.342,18.921,1.23,44,31,0.188,1.188,64.9
0.4273,1789129950.275,294913,junction,0.333,18.921,1.225,44,31,0.188,1.188,64.8
0.4339,1789129950.282,294914,junction,0.344,18.917,1.229,44,31,0.188,1.188,65.4
0.4494,1789129950.297,294915,junction,0.344,18.924,1.23,44,31,0.313,1.188,65.4
0.4641,1789129950.312,294916,junction,0.339,18.928,1.232,44,31,0.188,1.188,65.2
0.4793,1789129950.327,294917,junction,0.346,18.928,1.229,44,31,0.188,1.188,65.8
0.4950,1789129950.343,294918,junction,0.334,18.937,1.226,44,31,0.188,1.188,65.8
0.5106,1789129950.359,294919,junction,0.344,18.945,1.234,44,31,0.188,1.188,65.4
0.5247,1789129950.373,294920,junction,0.335,18.962,1.227,44,31,0.313,1.188,65.5
0.5408,1789129950.389,294921,junction,0.337,18.967,1.225,44,31,0.188,1.313,65.6
0.5558,1789129950.404,294922,junction,0.328,18.983,1.226,44,31,0.313,1.313,65.6
0.5704,1789129950.418,294923,junction,0.321,18.985,1.229,44,31,0.188,1.313,65.5
0.5870,1789129950.435,294924,junction,0.32,18.992,1.231,45,31,0.313,1.313,65.6
0.6021,1789129950.450,294925,junction,0.32,18.998,1.228,45,31,0.188,1.188,65.3
0.6162,1789129950.464,294926,junction,0.32,18.989,1.228,44,31,0.313,1.188,65.4
0.6335,1789129950.481,294927,junction,0.316,18.992,1.235,44,31,0.188,1.188,65.5
0.6479,1789129950.496,294928,junction,0.313,19.003,1.239,44,31,0.313,1.313,65.1
0.6638,1789129950.512,294929,junction,0.289,19.016,1.283,45,31,0.313,1.313,65.2
0.6949,1789129950.543,294930,junction,0.27,18.964,1.365,109,75,0.313,1.313,62.6
0.7081,1789129950.556,294931,junction,0.263,19.06,1.342,44,31,0.313,1.313,59.6
0.7226,1789129950.571,294932,junction,0.264,19.055,1.343,44,31,0.313,1.313,60.5
0.7413,1789129950.589,294933,junction,0.273,19.059,1.347,44,31,0.313,1.313,61.3
0.7522,1789129950.600,294934,junction,0.276,19.08,1.365,44,31,0.313,1.313,61.7
0.7674,1789129950.615,294935,junction,0.237,19.149,1.441,43,31,0.188,1.438,62.3
0.7828,1789129950.631,294936,junction,0.24,19.201,1.477,43,31,0.313,1.438,62.9
0.8009,1789129950.649,294937,junction,0.193,19.259,1.541,43,31,0.188,1.563,63.2
0.8116,1789129950.660,294938,junction,0.211,19.298,1.582,43,31,0.313,1.438,63.7
0.8261,1789129950.674,294939,junction,0.207,19.332,1.625,43,30,0.313,1.438,64.2
0.8405,1789129950.688,294940,junction,0.194,19.344,1.638,43,31,0.313,1.438,64.3
0.8550,1789129950.703,294941,junction,0.17,19.359,1.656,43,31,0.438,1.313,64.8
0.8694,1789129950.717,294942,junction,0.141,19.401,1.686,43,31,0.313,1.313,65.6
0.8842,1789129950.732,294943,junction,0.142,19.435,1.707,43,31,0.438,1.438,65.6
0.8964,1789129950.744,294944,junction,0.131,19.433,1.715,43,31,0.313,1.438,66.8
0.9097,1789129950.758,294945,junction,0.144,19.433,1.73,43,31,0.438,1.563,68.0
