video_frame,t_s,wall_time
0,0.0316,1789129949.880
1,0.0355,1789129949.883
2,0.0638,1789129949.912
3,0.0675,1789129949.915
4,0.0918,1789129949.940
5,0.1076,1789129949.956
6,0.1135,1789129949.961
7,0.1295,1789129949.977
8,0.1537,1789129950.002
9,0.1574,1789129950.005
10,0.1755,1789129950.023
11,0.2056,1789129950.054
12,0.2296,1789129950.078
13,0.2409,1789129950.089
14,0.2496,1789129950.098
15,0.2741,1789129950.122
16,0.2796,1789129950.128
17,0.2956,1789129950.144
18,0.3115,1789129950.159
19,0.3316,1789129950.180
20,0.3477,1789129950.196
21,0.3537,1789129950.202
22,0.3780,1789129950.226
23,0.3836,1789129950.232
24,0.4077,1789129950.256
25,0.4266,1789129950.275
26,0.4276,1789129950.276
27,0.4518,1789129950.300
28,0.4677,1789129950.316
29,0.4738,1789129950.322
30,0.4925,1789129950.340
31,0.5036,1789129950.352
32,0.5278,1789129950.376
33,0.5438,1789129950.392
34,0.5527,1789129950.401
35,0.5737,1789129950.422
36,0.5780,1789129950.426
37,0.5957,1789129950.444
38,0.6198,1789129950.468
39,0.6238,1789129950.472
40,0.6531,1789129950.501
41,0.6556,1789129950.504
42,0.6795,1789129950.527
43,0.7178,1789129950.566
44,0.7215,1789129950.569
45,0.7316,1789129950.580
46,0.7557,1789129950.604
47,0.7616,1789129950.610
48,0.7756,1789129950.624
49,0.8004,1789129950.648
50,0.8078,1789129950.656
51,0.8479,1789129950.696
52,0.9042,1789129950.752
53,0.9045,1789129950.752
54,0.9055,1789129950.753
55,1.0717,1789129950.920
56,1.0778,1789129950.926
57,1.1103,1789129950.958
58,1.1378,1789129950.986
59,1.1477,1789129950.996
60,1.1537,1789129951.002
61,1.1761,1789129951.024
62,1.1815,1789129951.029
63,1.2038,1789129951.052
64,1.2196,1789129951.068
65,1.2457,1789129951.094
66,1.3037,1789129951.152
67,1.3039,1789129951.152
68,1.3039,1789129951.152
69,1.3179,1789129951.166
70,1.3996,1789129951.248
71,1.4059,1789129951.254
72,1.4218,1789129951.270
73,1.5115,1789129951.360
74,1.5127,1789129951.361
75,1.5132,1789129951.361
76,1.5134,1789129951.361
77,1.5468,1789129951.395
78,1.5470,1789129951.395
79,1.5577,1789129951.406
80,1.5796,1789129951.428
81,1.6103,1789129951.458
82,1.6203,1789129951.468
83,1.6377,1789129951.486
84,1.6436,1789129951.492
85,1.6557,1789129951.504
86,1.6814,1789129951.529
87,1.6874,1789129951.535
88,1.6998,1789129951.548
89,1.7240,1789129951.572
90,1.7296,1789129951.578
91,1.7537,1789129951.602
92,1.7623,1789129951.610
93,1.7821,1789129951.630
94,1.7879,1789129951.636
95,1.8137,1789129951.662
96,1.8177,1789129951.666
97,1.8460,1789129951.694
98,1.8518,1789129951.700
99,1.8737,1789129951.722
100,1.8896,1789129951.738
101,1.8936,1789129951.742
102,1.9096,1789129951.758
103,1.9378,1789129951.786
104,1.9518,1789129951.800
105,1.9605,1789129951.808
106,1.9717,1789129951.820
107,1.9917,1789129951.840
108,2.0066,1789129951.855
109,2.0276,1789129951.876
110,2.0534,1789129951.901
111,2.0759,1789129951.924
112,2.0798,1789129951.928
113,2.1105,1789129951.958
114,2.1115,1789129951.959
115,2.1288,1789129951.977
116,2.1496,1789129951.998
117,2.1599,1789129952.008
118,2.1735,1789129952.021
119,2.1878,1789129952.036
120,2.2038,1789129952.052
121,2.2329,1789129952.081
